item_id,lrn_question_reference,var_name,prompt ,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10,included_v1.5,included_v1.6,included_v1.7,included_v1.8,included_v1.9,included_v2.0
presurvey_0719_mindset,0bf4f6a9-d04e-4e30-8da2-9697e4311a6b,mindset1_pre,"you can learn new things, but you can't really change your basic math ability.",strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
presurvey_0719_mindset,7e07fb9e-d18a-4276-8c03-7b2aeec68a76,mindset2_pre,"no matter how much math ability you have, you can always improve it.",strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
embedded_0719_expectancy,d9d078e7-44cd-4aaa-96ff-e790bc1fbc4c,expectancy1_emb_ch8,i know i can learn the material in this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
embedded_0719_expectancy,eeff667b-c3ff-4817-866b-2a5c09fcbda9,expectancy2_emb_ch8,i believe that i can be successful in this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
embedded_0719_value,144a9719-8da9-4d26-aa9c-ab4cb49a2baf,value1_emb_ch8,what i learn in this course will be useful in the future.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
embedded_0719_value,df8fb755-7378-4a8c-bb41-8e7aace8328d,value2_emb_ch8,the content of this course is important for me.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
embedded_0719_cost,0bd71c09-270a-49cd-ae75-87cdd9d7d6bc,cost2_emb_ch8,i have to give up too much to do well in this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
embedded_0719_cost,48a69902-b209-4c2f-8916-36ac8b7e6707,cost3_emb_ch8,this course is too stressful for me.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
embedded_0719_cost,5162890e-c8c1-4657-9ee1-009950e5a86a,cost1_emb_ch8,i'm unable to put in the time needed to do well in this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_course_features,16211288-eea9-42e7-93e6-b4ff9ceef4f7,feature_r_post,r coding exercises,not at all important,slightly important,moderately important,very important,extremely important,,,,,,,1,,,,
postsurvey_0719_course_features,bac39f43-77f5-4d20-9cd3-b9f89abeab03,feature_peer_post,time studying with other students,not at all important,slightly important,moderately important,very important,extremely important,,,,,,,1,,,,
postsurvey_0719_course_features,d38780ae-e9cf-465e-99f8-64ecd50513a5,feature_class_post,time spent in class,not at all important,slightly important,moderately important,very important,extremely important,,,,,,,1,,,,
postsurvey_0719_course_features,db2b6ed7-3430-4fb3-b34e-0b43704c2bc1,feature_book_post,the online textbook,not at all important,slightly important,moderately important,very important,extremely important,,,,,,,1,,,,
postsurvey_0719_engagement,81f4e64c-4e60-4a96-85ff-5109dcae6ce8,engage_procrast1_post,did you wait until the last minute to do your homework?,yes,no,,,,,,,,,,1,,,,
postsurvey_0719_engagement,95c17b93-d49e-42ab-97d1-68b75ec2152a,engage_attend2_post,why?,,,,,,,,,,,,1,,,,
postsurvey_0719_engagement,d99387a9-3980-4119-b1e0-b44b71c010dc,engage_attend1_post,did you usually attend class?,yes,no,,,,,,,,,,1,,,,
postsurvey_0719_engagement,ea8baec9-d8e4-4471-a626-1f3065db8338,engage_procrast2_post,why?,,,,,,,,,,,,1,,,,
postsurvey_0719_attitudes,92e465b4-01bc-4c0e-a268-8ac3c0cdcb0c,attitudes_course_post,i think other instructors should use this book for teaching statistics.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_attitudes,95dab0a8-1581-4a1a-9d08-c4dfc9b230ca,attitudes_mem_post,this course required a lot of memorization.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_attitudes,9e81a5ed-556a-419e-8c64-0c9be8405eeb,attitudes_ma_prep_post,i had the math preparation needed to succeed in this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_attitudes,bac23a25-2b48-4281-b771-0164397ffa15,attitudes_advice_post,what advice would you give to future students who want to do well in this course?,,,,,,,,,,,,1,,,,
postsurvey_0719_attitudes,c7e4fec4-8d7e-43be-9397-1859895dbd14,attitudes_underst_post,this course required deep thinking and understanding of concepts.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_attitudes,caa3d18d-6fd5-4396-84cb-6ee1324a7568,attitudes_learn_post,i learned a lot from this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_attitudes,eebcc522-5c32-47cb-8f1d-1669847f1b80,attitudes_chal_post,this course was challenging.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_interest,a4605c4e-2679-4fdf-9056-046e21daef1a,sent_pro_post ,"in this course, you used r (a programming language) to analyze data. how do you feel about this now?",strongly negative,somewhat negative,neither positive nor negative,somewhat positive,strongly positive,,,,,,,1,,,,
postsurvey_0719_interest,f5098708-7942-4a4a-a2ce-b9a3855c60c0,interest_stat1,i think statistics is interesting and enjoyable.,strongly disagree,disagree,slightly disagree,slightly agree,agree,strongly agree,,,,,,1,,,,
postsurvey_0719_value,2b0fe2ed-8c43-4f2b-90be-6f2cbe916845,value2_post,what i learn in this course will be useful in the future.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_value,3290c7b1-5251-405a-bcd5-5f1bfc74e491,value_underst_post ,understanding the content of this course is more important to me than getter good grades.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_value,d203d48b-9185-4901-be4c-776279781a75,value1_post ,the content of this course is important for me.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_confidence,06b492a2-d8ba-4ae2-9430-aed42bd1e6dd,conf_r_post,use r to analyze a new dataset,not at all confident,only a little confident,somewhat confident,mostly confident,completely confident,,,,,,,1,,,,
postsurvey_0719_mindset,2d0aab7c-b4a3-4a8b-9f10-56d2ee42ae2e,mindset1_post,"you can learn new things, but you can't really change your basic math ability.",strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
postsurvey_0719_mindset,858c8fa5-868b-4b5d-9185-5be48e4017ba,mindset2_post ,"no matter how much math ability you have, you can always improve it.",strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
presurvey_0520_addenda,7b13ac81-8827-4ff7-87db-e9086db23a32,age_pre,,,,,,,,,,,,,0,,,,
embedded_0719_ch4_stress,9b08238b-4407-4e88-bcf6-09f91851bae6,stress3_emb_ch4,how much has your statistics class contributed to your overall stress this week?,,,,,,,,,,,,1,,,,
embedded_0719_ch4_stress,9c6c14ea-b594-4ec0-8df0-8cfecfa8b46f,stress1_emb_ch4,how much stress are you experiencing in your life this week?,,,,,,,,,,,,1,,,,
embedded_0719_ch4_stress,e28bb954-7e3a-45c4-90b7-3fd19ef4c5b8,stress2_emb_ch4,how much stress are you experiencing in your statistics class this week?,,,,,,,,,,,,1,,,,
embedded_0719_ch8_stress,682a37fd-c90d-41b2-8467-70824ce39da6,stress2_emb_ch8,how much stress are you experiencing in your statistics class this week?,,,,,,,,,,,,1,,,,
embedded_0719_ch8_stress,7c00bb6c-b69f-4761-a8cc-c57eb65da4bf,stress3_emb_ch8,how much has your statistics class contributed to your overall stress this week?,,,,,,,,,,,,1,,,,
embedded_0719_ch8_stress,c9938f13-8fcd-4f1d-bb8e-d26bd32085af,stress1_emb_ch8,how much stress are you experiencing in your life this week?,,,,,,,,,,,,1,,,,
embedded_0719_ch11_stress,3b547c21-7bda-400c-b5b1-b279ec7ce722,stress2_emb_ch11,how much stress are you experiencing in your statistics class this week?,,,,,,,,,,,,1,,,,
embedded_0719_ch11_stress,83cbbcc2-0a9f-4482-b17f-18d3108e1509,stress1_emb_ch11,how much stress are you experiencing in your life this week?,,,,,,,,,,,,1,,,,
embedded_0719_ch11_stress,c8473764-31cc-4ecf-a4a0-c0e02536f81d,stress3_emb_ch11,how much has your statistics class contributed to your overall stress this week?,,,,,,,,,,,,1,,,,
